iter, loss
1,1.098951404991604
2,1.0987404869454247
3,1.0987165525896208
4,1.098708634143784
5,1.0987088297889347
6,1.098708613216877
7,1.0987086128308658
8,1.0987086127372014
9,1.0987086128791173
10,1.0987086131175359
11,1.0987086129983266
12,1.0987086129075005
13,1.098708612680435
14,1.0987086127258483
15,1.0987086128791173
16,1.0987086128337042
17,1.098708612652052
18,1.0987086127428782
19,1.098708612680435
20,1.0987086126577286
21,1.0987086124136334
22,1.098708612544196
23,1.098708612669082
24,1.09870861297562
25,1.0987086129869734
26,1.098708612759908
27,1.0987086130437398
28,1.0987086129075005
29,1.0987086131232124
30,1.098708613208362
